#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
centralconcentration;Demesne Centralization;Centralisation;Zentralisierung;;Centralización;;;;;;;;;x
EVTDESCBUDGET220;Education in the [This.GetName] System now receives low funding.;;;;;;;;;;;;;x
EVTDESCBUDGET230;Education in the [This.GetName] System now receives moderate funding.;;;;;;;;;;;;;x
EVTDESCBUDGET240;Education in the [This.GetName] System now receives high funding.;;;;;;;;;;;;;x
education_budget_mod_1;Small Education Service;;;;;;;;;;;;;x
education_budget_mod_1_desc;;;;;;;;;;;;;;x
education_budget_mod_2;Moderate Education Service;;;;;;;;;;;;;x
education_budget_mod_2_desc;;;;;;;;;;;;;;x
education_budget_mod_3;Large Education Service;;;;;;;;;;;;;x
education_budget_mod_3_desc;;;;;;;;;;;;;;x
EVTTOOLTIPLAWS200;Civil unrest will grow in the [This.GetName] System.;;;;;;;;;;;;;x
EVTDESCLAWS200;Civil unrest is growing in the [This.GetName] System.;;;;;;;;;;;;;x
EVTTOOLTIPLAWS201;Civil unrest will be reduced in the [This.GetName] System.;;;;;;;;;;;;;x
EVTDESCLAWS201;Civil unrest is weakening in the [This.GetName] System.;;;;;;;;;;;;;x
civil_unrest_0;Insignificant Civil Unrest;;;;;;;;;;;;;x
civil_unrest_0_desc;The vast majority of this system's population respects and supports their government, but there are nevertheless a number of malcontents.;;;;;;;;;;;;;x
civil_unrest_1;Trivial Civil Unrest;;;;;;;;;;;;;x
civil_unrest_1_desc;This system's government has the support of most of the population, but there is a noticeable anti-government minority. This is not a serious problem, but it could become one if left unchecked. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_2;Mild Civil Unrest;;;;;;;;;;;;;x
civil_unrest_2_desc;This system's government is controversial, and there is a growing anti-government activist movement, but its population still respects the government's authority. This is not a serious problem, but it could become one if left unchecked. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_3;Minor Civil Unrest;;;;;;;;;;;;;x
civil_unrest_3_desc;This system's government is unpopular, and there is a significant anti-government activist movement, but its population still respects the government's authority, for now. If something is not done soon, the government may lose the ability to enforce law and order. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_4;Moderate Civil Unrest;;;;;;;;;;;;;x
civil_unrest_4_desc;This system's government is unpopular, and there is a significant anti-government activist movement with a growing radical wing. If something is not done soon, the government may lose the ability to enforce law and order. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_5;Worrying Civil Unrest;;;;;;;;;;;;;x
civil_unrest_5_desc;This system's government is unpopular, and it is beginning to lose control of the population. While law and order is still maintained in most of the system, it has begun to break down in outlying and isolated communities. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_6;Major Civil Unrest;;;;;;;;;;;;;x
civil_unrest_6_desc;This system's government is deeply unpopular, and it is beginning to lose control of the population. While law and order is still maintained in the capital and major population centers, the government has essentially lost control of many colonies and space stations. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_7;Rampant Civil Unrest;;;;;;;;;;;;;x
civil_unrest_7_desc;This system's government is  deeply unpopular, and it is no longer respected by the population. Law and order is still maintained in the capital and most of the major population centers, but only by brute force, and now even some major cities are in a state of anarchy. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_8;Massive Civil Unrest;;;;;;;;;;;;;x
civil_unrest_8_desc;This system's government is extremely unpopular, and its control of the population is on the verge of collapse. The majority of the system is in a state of anarchy, and government forces have retreated to fortified enclaves within the major population centers. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
civil_unrest_9;Total Chaos;;;;;;;;;;;;;x
civil_unrest_9_desc;Law and order have completely collapsed in this system, and the government has fled into hiding or exile. No centralized authority is recognized, and law and order, such as it is, is maintained only by local citizens' militias. Civil unrest is often driven by economic depression, the perceived failure of government, or severe ideological differences.;;;;;;;;;;;;;x
succ_nomad_succession;Clanic Rule;Fédération éléctive;;;;;;;;;;;;x
succ_nomad_succession_desc;Rulers are elected by a council consisting of the previous ruler and other clans. In practice, the new ruler will always be a clan leader. But beware: a kingdom can fragment easily is the new ruler is weak, too young or without prestige.;Les dirigeants sont élus par un conseil fédérale composé du dirigeant précédent, son supérieur immédiat, et tous les principaux gouverneurs régionaux. En pratique, le nouveau dirigeant sera toujours un membre du conseil éléctoral du précédent dirigeant.;;;;;;;;;;;;x
legislative_efficiency;Legislative Efficiency - Representation;;;;;;;;;;;;;x
legislative_efficiency_desc;This is a decision all governments with a legislative body must make, a trade-off between efficiency, passing laws faster and cheaper, or representation, allowing more accurate knowledge of the population wishes, giving more stability and legitimacy.;;;;;;;;;;;;;x
legislative_efficiency_0;Ministers Council;;;;;;;;;;;;;x
legislative_efficiency_0_option;Ministers;;;;;;;;;;;;;x
legislative_efficiency_0_desc;In this form of legislative body, all decisions are made by a small council composed by the Executive advisors and ministers.;;;;;;;;;;;;;x
legislative_efficiency_1;Commission;;;;;;;;;;;;;x
legislative_efficiency_1_desc;Popular with small states, military juntas and theocracies, this is a proper legislative body, although often still appointed by the ruler and being almost as if they were co-ministers.;;;;;;;;;;;;;x
legislative_efficiency_2;Legislative Council;;;;;;;;;;;;;x
legislative_efficiency_2_option;Council;;;;;;;;;;;;;x
legislative_efficiency_2_desc;Also called with a variety of other names, like Supreme Council, National Council and so on, these tend to be the actual legislative bodies separate from the Executive functions.;;;;;;;;;;;;;x
legislative_efficiency_3;Assembly;;;;;;;;;;;;;x
legislative_efficiency_3_desc;The first non-tribal legislative bodies in human civilization were the assemblies, one of the earliest ones being the Athenian Ekklesia, that translates to Assembly in english. This body has real power, but might still be too small to represent enormous populations.;;;;;;;;;;;;;x
legislative_efficiency_4;Congress;;;;;;;;;;;;;x
legislative_efficiency_4_desc;Aiming to give the most representation possible within what is practically possible, this form of government body has been rather popular since year 1800 or so, with some countries having a quite sizeable number of members, the 2020 session of the National People's Congress of China having 2980 seats.;;;;;;;;;;;;;x
disobedience;Legal Disobedience;;;;;;;;;;;;;x
disobedience_desc;Enacting this, means the ruler is going to disobey his liege laws, if he has one, and also any crown laws that may apply to him, even ones of his own government.;;;;;;;;;;;;;x
disobedience_0;Obedience;;;;;;;;;;;;;x
disobedience_0_desc;The Executive intends to obey the laws.;;;;;;;;;;;;;x
disobedience_1;Disobedience;;;;;;;;;;;;;x
disobedience_1_desc;The Executive intends to ignore the laws.;;;;;;;;;;;;;x
local_main_government_type;Government Type;;;;;;;;;;;;;x
local_main_government_type_desc;The purpose of this law is define if the government leader will be military, civil or rectorial.;;;;;;;;;;;;;x
local_main_government_type_0;Military;;;;;;;;;;;;;x
local_main_government_type_0_desc;A military government has the main seat in a fortress or military base and the ruler is also the commander of the armed forces.;;;;;;;;;;;;;x
local_main_government_type_1;Civil;;;;;;;;;;;;;x
local_main_government_type_1_desc;Civil governments are when the military is despite having their own commander, are subservient to civilian leadership, the seat of such government is usually some kind of city or town, and its focus is providing public services to its population.;;;;;;;;;;;;;x
local_main_government_type_2;Rectorate;;;;;;;;;;;;;x
local_main_government_type_2_desc;The leaders of this type of government are called Rectors, traditionally a Rector is whoever controls some kind of institution, could be an Abbey, University, Monastery or Research Institute. The focus of these types of government tend to be philosophical, advancing knowledge, sciences, religion or ideological ideas.;;;;;;;;;;;;;x
local_secondary_government_type;Secondary Government Type;;;;;;;;;;;;;x
local_main_government_type_desc;Large enough governments will be too inefficient keeping themselves too narrow, this law allows a government to expand its scope, or keep itself focused.;;;;;;;;;;;;;x
local_secondary_government_type_0;Military | Imperialistic | Theocratic;;;;;;;;;;;;;x
local_secondary_government_type_0_option;Military;;;;;;;;;;;;;x
local_secondary_government_type_0_desc;If combined with a civil government, this government becomes a imperialistic government, where the ruler controls both civil service and the military, such governments tend to be expansionist, needing further conquest to fuel their bureaucracy.\nIf combined with a rectorate, this government becomes a theocracy, where the main purpose of the government is to spread its ideas and have a population that also follow such ideas.;;;;;;;;;;;;;x
local_secondary_government_type_1;Imperialistic | Civil | Technocratic;;;;;;;;;;;;;x
local_secondary_government_type_1_option;Civil;;;;;;;;;;;;;x
local_secondary_government_type_1_desc;If combined with a military government, this government becomes a imperialistic government, where the ruler controls both civil service and the military, such governments tend to be expansionist, needing further conquest to fuel their bureaucracy.\nIf combined with a rectorate, this government becomes a technocracy, where the government is ruled by specialists seeking to enhance the state with wealth, technology and knowledge.;;;;;;;;;;;;;x
local_secondary_government_type_2;Theocratic | Technocratic | Rectorate;;;;;;;;;;;;;x
local_secondary_government_type_2_option;Rectorate;;;;;;;;;;;;;x
local_secondary_government_type_2_desc;If combined with a military government, this government becomes a theocracy, where the main purpose of the government is to spread its ideas and have a population that also follow such ideas.\nIf combined with a civil government, this government becomes a technocracy, where the government is ruled by specialists seeking to enhance the state with wealth, technology and knowledge.;;;;;;;;;;;;;x
