#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COUNCILLORS;Ministers;Conseillers;Ratsmitglieder;;Consejeros;;;;;;;;;x
temple_emperor_female_neo_socialist;Secretary-General;;;;;;;;;;;;;x
temple_emperor_foa_neo_socialist;Comrade Secretary;;;;;;;;;;;;;x
temple_emperor_foa_female_neo_socialist;Comrade Secretary;;;;;;;;;;;;;x
temple_empire_of_neo_socialist;People's Union of;;;;;;;;;;;;;x
temple_empire_neo_socialist;Union;;;;;;;;;;;;;x
temple_empires_neo_socialist;Unions;;;;;;;;;;;;;x
temple_king_neo_socialist;Secretary;;;;;;;;;;;;;x
temple_king_female_neo_socialist;Secretary;;;;;;;;;;;;;x
temple_king_foa_neo_socialist;Comrade Secretary;;;;;;;;;;;;;x
temple_king_foa_female_neo_socialist;Comrade Secretary;;;;;;;;;;;;;x
temple_kingdom_of_neo_socialist;People's State of;;;;;;;;;;;;;x
temple_kingdom_neo_socialist;State;;;;;;;;;;;;;x
temple_kingdoms_neo_socialist;States;;;;;;;;;;;;;x
family_palace_neo_socialist;Bureau;;;;;;;;;;;;;x
family_palace_baron_neo_socialist;Director;;;;;;;;;;;;;x
family_palace_baron_female_neo_socialist;Director;;;;;;;;;;;;;x
family_palace_baron_foa_neo_socialist;Comrade Director;;;;;;;;;;;;;x
family_palace_baron_foa_female_neo_socialist;Comrade Director;;;;;;;;;;;;;;x
family_palace_barony_of_neo_socialist;Headquarters of;Quartier général de;;;;;;;;;;;;x
family_palace_baron_deed_neo_socialist;Chair of;;;;;;;;;;;;;x
temple_count_religious_group;Abbot;;;;;;;;;;;;;x
temple_count_female_religious_group;Abbess;;;;;;;;;;;;;x
temple_count_foa_religious_group;Father;;;;;;;;;;;;;x
temple_count_foa_female_religious_group;Mother;;;;;;;;;;;;;x
temple_count_title_ruler_consort_religious_group;Abbess's Spouse;;;;;;;;;;;;;x
temple_count_title_ruler_consort_female_religious_group;Abbot's Spouse;;;;;;;;;;;;;x
temple_baron_religious_group;Abbot;;;;;;;;;;;;;x
temple_baron_female_religious_group;Abbess;;;;;;;;;;;;;x
temple_baron_foa_religious_group;Father;;;;;;;;;;;;;x
temple_baron_foa_female_religious_group;Mother;;;;;;;;;;;;;x
temple_baron_title_ruler_consort_religious_group;Abbess's Spouse;;;;;;;;;;;;;x
temple_baron_title_ruler_consort_female_religious_group;Abbot's Spouse;;;;;;;;;;;;;x
temple_barony_of_religious_group;Shrine World;;;;;;;;;;;;;x
temple_barony_religious_group;Shrine World;;;;;;;;;;;;;x
temple_baronies_religious_group;Shrine Worlds;;;;;;;;;;;;;x
temple_emperor_orthodoxEmperor-Bishop;;;;;;;;;;;;;x
temple_emperor_female_orthodoxEmpress-Bishop;;;;;;;;;;;;;x
temple_emperor_foa_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_emperor_foa_female_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_empire_of_orthodoxHoly Empire of;;;;;;;;;;;;;x
temple_empires_orthodoxEmpires;;;;;;;;;;;;;x
temple_empire_orthodoxHoly Empire;;;;;;;;;;;;;x
temple_king_orthodoxPrince-Bishop;;;;;;;;;;;;;x
temple_king_female_orthodoxPrincess-Bishop;;;;;;;;;;;;;x
temple_king_foa_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_king_foa_female_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_kingdom_of_orthodoxHoly Realm of;;;;;;;;;;;;;x
temple_kingdoms_orthodoxRealms;;;;;;;;;;;;;x
temple_kingdom_orthodoxHoly Realm;;;;;;;;;;;;;x
temple_duke_orthodoxMetroplanoan;;;;;;;;;;;;;x
temple_duke_female_orthodoxMetroplanoan;;;;;;;;;;;;;x
temple_duke_foa_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_duke_foa_female_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_duchy_of_orthodoxMetroplanao of;;;;;;;;;;;;;x
temple_duchies_orthodoxMetroplanaoa;;;;;;;;;;;;;x
temple_duchy_orthodoxMetroplanao;;;;;;;;;;;;;x
temple_count_orthodoxArchbishop;;;;;;;;;;;;;x
temple_count_female_orthodoxArchbishop;;;;;;;;;;;;;x
temple_count_foa_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_count_foa_female_orthodoxYour Holiness;;;;;;;;;;;;;x
temple_county_of_orthodoxArchbishopric of;;;;;;;;;;;;;x
temple_counties_orthodoxArchbishoprics;;;;;;;;;;;;;x
temple_county_orthodoxArchbishopric;;;;;;;;;;;;;x
temple_baron_orthodoxBishop;;;;;;;;;;;;;x
temple_baron_female_orthodoxBishop;;;;;;;;;;;;;x
temple_emperor_solarian;Pater;;;;;;;;;;;;;x
temple_emperor_female_solarian;Mater;;;;;;;;;;;;;x
temple_emperor_foa_solarian;Your Holiness;;;;;;;;;;;;;x
temple_emperor_foa_female_solarian;Your Holiness;;;;;;;;;;;;;x
temple_empire_of_solarian;Holy Empire of;;;;;;;;;;;;;x
temple_empires_solarian;Empires;;;;;;;;;;;;;x
temple_empire_solarian;Holy Empire;;;;;;;;;;;;;x
temple_king_solarian;Perses;;;;;;;;;;;;;x
temple_king_female_solarian;Perses;;;;;;;;;;;;;x
temple_king_foa_solarian;Your Holiness;;;;;;;;;;;;;x
temple_king_foa_female_solarian;Your Holiness;;;;;;;;;;;;;x
temple_kingdom_of_solarian;Holy Realm of;;;;;;;;;;;;;x
temple_kingdoms_solarian;Realms;;;;;;;;;;;;;x
temple_kingdom_solarian;Holy Realm;;;;;;;;;;;;;x
temple_duke_solarian;Leo;;;;;;;;;;;;;x
temple_duke_female_solarian;Lea;;;;;;;;;;;;;x
temple_duke_foa_solarian;Your Holiness;;;;;;;;;;;;;x
temple_duke_foa_female_solarian;Your Holiness;;;;;;;;;;;;;x
temple_duchy_of_solarian;Pride of;;;;;;;;;;;;;x
temple_duchies_solarian;Prides;;;;;;;;;;;;;x
temple_duchy_solarian;Pride;;;;;;;;;;;;;x
temple_count_solarian;Miles;;;;;;;;;;;;;x
temple_count_female_solarian;Miles;;;;;;;;;;;;;x
temple_count_foa_solarian;Your Holiness;;;;;;;;;;;;;x
temple_count_foa_female_solarian;Your Holiness;;;;;;;;;;;;;x
temple_county_of_solarian;Milate of;;;;;;;;;;;;;x
temple_counties_solarian;Milates;;;;;;;;;;;;;x
temple_county_solarian;Milate;;;;;;;;;;;;;x
temple_baron_solarian;Nymphus;;;;;;;;;;;;;x
temple_baron_female_solarian;Nympha;;;;;;;;;;;;;x
pirate_kingdom_emperor;Shadow Emperor;;;;;;;;;;;;;x
pirate_kingdom_emperor_female;Shadow Empress;;;;;;;;;;;;;x
pirate_kingdom_empire_of;Shadow Empire of;;;;;;;;;;;;;x
pirate_kingdom_empires;Empires;;;;;;;;;;;;;x
pirate_kingdom_empire;Empire;;;;;;;;;;;;;x
pirate_kingdom_king;Pirate King;;;;;;;;;;;;;x
pirate_kingdom_king_female;Pirate Queen;;;;;;;;;;;;;x
pirate_kingdom_king_title_ruler_consort;Pirate Consort;;;;;;;;;;;;;x
pirate_kingdom_king_title_ruler_consort_female;Pirate Consort;;;;;;;;;;;;;x
pirate_kingdom_kingdom_of;Pirate Kingdom of;;;;;;;;;;;;;x
pirate_kingdom_kingdoms;Pirate Kingdoms;;;;;;;;;;;;;x
pirate_kingdom_kingdom;Pirate Kingdom;;;;;;;;;;;;;x
pirate_kingdom_king_deed;Control of;;;;;;;;;;;;;x
pirate_kingdom_duke;Pirate Overlord;;;;;;;;;;;;;x
pirate_kingdom_duke_female;Pirate Overlord;;;;;;;;;;;;;x
pirate_kingdom_duke_deed;Control of;;;;;;;;;;;;;x
pirate_kingdom_count;Pirate Lord;;;;;;;;;;;;;x
pirate_kingdom_count_female;Pirate Lady;;;;;;;;;;;;;x
pirate_republic_emperor;Shadow Emperor;;;;;;;;;;;;;x
pirate_republic_emperor_female;Shadow Empress;;;;;;;;;;;;;x
pirate_republic_empire_of;Cartel of;;;;;;;;;;;;;x
pirate_republic_empires;Cartels;;;;;;;;;;;;;x
pirate_republic_empire;Cartel;;;;;;;;;;;;;x
pirate_republic_king;Kingpin;;;;;;;;;;;;;x
pirate_republic_king_female;Queenpin;;;;;;;;;;;;;x
pirate_republic_kingdom_of;Syndicate of;;;;;;;;;;;;;x
pirate_republic_kingdoms;Syndicates;;;;;;;;;;;;;x
pirate_republic_kingdom;Syndicate;;;;;;;;;;;;;x
pirate_republic_duke;Enforcer;;;;;;;;;;;;;x
pirate_republic_duke_female;Enforcer;;;;;;;;;;;;;x
pirate_republic_duke_title_ruler_consort;Consort;;;;;;;;;;;;;x
pirate_republic_duke_title_ruler_consort_female;Consort;;;;;;;;;;;;;x
pirate_republic_duke_deed;Control of;;;;;;;;;;;;;x
pirate_republic_county_of;Freeport;;;;;;;;;;;;;x
pirate_republic_counties;Freeports;;;;;;;;;;;;;x
pirate_republic_county;Freeport;;;;;;;;;;;;;x
pirate_republic_governor_emperor;Shadow Emperor;;;;;;;;;;;;;x
pirate_republic_governor_emperor_female;Shadow Empress;;;;;;;;;;;;;x
pirate_republic_governor_empire_of;Cartel of;;;;;;;;;;;;;x
pirate_republic_governor_empires;Cartels;;;;;;;;;;;;;x
pirate_republic_governor_empire;Cartel;;;;;;;;;;;;;x
pirate_republic_governor_king;Kingpin;;;;;;;;;;;;;x
pirate_republic_governor_king_female;Queenpin;;;;;;;;;;;;;x
pirate_republic_governor_kingdom_of;Syndicate of;;;;;;;;;;;;;x
pirate_republic_governor_kingdoms;Syndicates;;;;;;;;;;;;;x
pirate_republic_governor_kingdom;Syndicate;;;;;;;;;;;;;x
pirate_republic_governor_duke;Enforcer;;;;;;;;;;;;;x
pirate_republic_governor_duke_female;Enforcer;;;;;;;;;;;;;x
pirate_republic_governor_duke_title_ruler_consort;Consort;;;;;;;;;;;;;x
pirate_republic_governor_duke_title_ruler_consort_female;Consort;;;;;;;;;;;;;x
pirate_republic_governor_duke_deed;Control of;;;;;;;;;;;;;x
pirate_republic_count;Enforcer;;;;;;;;;;;;;x
pirate_republic_count_female;Enforcer;;;;;;;;;;;;;x
pirate_republic_governor_count;Regional Enforcer;;;;;;;;;;;;;x
pirate_republic_governor_count_female;Regional Enforcer;;;;;;;;;;;;;x
pirate_republic_governor_county_of;Freeport;;;;;;;;;;;;;x
pirate_republic_governor_counties;Freeports;;;;;;;;;;;;;x
pirate_republic_governor_county;Freeport;;;;;;;;;;;;;x
title_prince;VIP;;;;;;;;;;;;;x
title_prince_female;VIP;;;;;;;;;;;;;x
title_prince_royal;Prince;;;;;;;;;;;;;x
title_prince_royal_female;Princess;;;;;;;;;;;;;x
hive_emperor;C0 Node;;;;;;;;;;;;;x
hive_emperor_female;C0 Node;;;;;;;;;;;;;x
hive_emperor_foa;C0;;;;;;;;;;;;;x
hive_emperor_foa_female;C0;;;;;;;;;;;;;x
hive_empire_of;C0 Network;;;;;;;;;;;;;x
hive_empire;C0 Network;;;;;;;;;;;;;x
hive_empires;C0 Networks;;;;;;;;;;;;;x
hive_king;C1 Node;;;;;;;;;;;;;x
hive_king_female;C1 Node;;;;;;;;;;;;;x
hive_king_foa;C1;;;;;;;;;;;;;x
hive_king_foa_female;C1;;;;;;;;;;;;;x
hive_kingdom_of;C1 Network;;;;;;;;;;;;;x
hive_kingdom;C1 Network;;;;;;;;;;;;;x
hive_kingdoms;C1 Networks;;;;;;;;;;;;;x
hive_duke;C2 Node;;;;;;;;;;;;;x
hive_duke_female;C2 Node;;;;;;;;;;;;;x
hive_duke_foa;C2;;;;;;;;;;;;;x
hive_duke_foa_female;C2;;;;;;;;;;;;;x
hive_duchy_of;C2 Network;;;;;;;;;;;;;x
hive_duchy;C2 Network;;;;;;;;;;;;;x
hive_duchies;C2 Networks;;;;;;;;;;;;;x
hive_count;CS Node;;;;;;;;;;;;;x
hive_count_female;CS Node;;;;;;;;;;;;;x
hive_count_foa;CS;;;;;;;;;;;;;x
hive_count_foa_female;CS;;;;;;;;;;;;;x
hive_county_of;CS Network;;;;;;;;;;;;;x
hive_county;CS Network;;;;;;;;;;;;;x
hive_counties;CS Networks;;;;;;;;;;;;;x
hive_baron;CP Node;;;;;;;;;;;;;x
hive_baron_female;CP Node;;;;;;;;;;;;;x
hive_baron_foa;CP;;;;;;;;;;;;;x
hive_baron_foa_female;CP;;;;;;;;;;;;;x
hive_barony_of;CP Network;;;;;;;;;;;;;x
hive_barony;CP Network;;;;;;;;;;;;;x
hive_baronies;CP Networks;;;;;;;;;;;;;x
monarchy_emperor_imperial_cult;God-Emperor;;;;;;;;;;;;;x
monarchy_emperor_imperial_cult_female;God-Empress;;;;;;;;;;;;;x
monarchy_emperor_foa_imperial_cult;Your Holiness;;;;;;;;;;;;;x
monarchy_emperor_foa_imperial_cult_female;Your Holiness;;;;;;;;;;;;;x
monarchy_emperor_title_ruler_consort_imperial_cult;Emperor Consort;;;;;;;;;;;;;x
monarchy_emperor_title_ruler_consort_imperial_cult_female;Empress Consort;;;;;;;;;;;;;x
monarchy_empire_of_imperial_cult;Holy Empire of;;;;;;;;;;;;;x
monarchy_empire_imperial_cult;Holy Empire;;;;;;;;;;;;;x
monarchy_empires_imperial_cult;Holy Empires;;;;;;;;;;;;;x
monarchy_king_imperial_cult;God-King;;;;;;;;;;;;;x
monarchy_king_imperial_cult_female;God-Queen;;;;;;;;;;;;;x
monarchy_king_foa_imperial_cult;Your Holiness;;;;;;;;;;;;;x
monarchy_king_foa_imperial_cult_female;Your Holiness;;;;;;;;;;;;;x
monarchy_king_title_ruler_consort_imperial_cult;King Consort;;;;;;;;;;;;;x
monarchy_king_title_ruler_consort_imperial_cult_female;Queen Consort;;;;;;;;;;;;;x
monarchy_kingdom_of_imperial_cult;Holy Kingdom of;;;;;;;;;;;;;x
monarchy_kingdom_imperial_cult;Holy Kingdom;;;;;;;;;;;;;x
monarchy_kingdoms_imperial_cult;Holy Kingdoms;;;;;;;;;;;;;x
monarchy_duke_imperial_cult;Seraph;;;;;;;;;;;;;x
monarchy_duke_imperial_cult_female;Seraph;;;;;;;;;;;;;x
monarchy_duke_foa_imperial_cult;Your Grace;;;;;;;;;;;;;x
monarchy_duke_foa_imperial_cult_female;Your Grace;;;;;;;;;;;;;x
monarchy_duke_title_ruler_consort_imperial_cult;Seraph's Consort;;;;;;;;;;;;;x
monarchy_duke_title_ruler_consort_imperial_cult_female;Seraph's Consort;;;;;;;;;;;;;x
monarchy_duchy_of_imperial_cult;Seraphate of;;;;;;;;;;;;;x
monarchy_duchy_imperial_cult;Seraphate;;;;;;;;;;;;;x
monarchy_duchies_imperial_cult;Seraphates;;;;;;;;;;;;;x
monarchy_monarchy_count_imperial_cult;Guardian;;;;;;;;;;;;;x
monarchy_count_imperial_cult_female;Guardian;;;;;;;;;;;;;x
monarchy_count_foa_imperial_cult;My Lord;;;;;;;;;;;;;x
monarchy_count_foa_imperial_cult_female;My Lady;;;;;;;;;;;;;x
monarchy_count_title_ruler_consort_imperial_cult;Guardian's Consort;;;;;;;;;;;;;x
monarchy_count_title_ruler_consort_imperial_cult_female;Guardian's Consort;;;;;;;;;;;;;x
monarchy_baron_imperial_cult;Warden;;;;;;;;;;;;;x
monarchy_baron_imperial_cult_female;Warden;;;;;;;;;;;;;x
monarchy_baron_foa_imperial_cult;My Lord;;;;;;;;;;;;;x
monarchy_baron_foa_imperial_cult_female;My Lady;;;;;;;;;;;;;x
monarchy_baron_title_ruler_consort_imperial_cult;Warden's Consort;;;;;;;;;;;;;x
monarchy_baron_title_ruler_consort_imperial_cult_female;Warden's Consort;;;;;;;;;;;;;x
temple_emperor_imperial_cult;God-Emperor;;;;;;;;;;;;;x
temple_emperor_imperial_cult_female;God-Empress;;;;;;;;;;;;;x
temple_emperor_foa_imperial_cult;Your Holiness;;;;;;;;;;;;;x
temple_emperor_foa_imperial_cult_female;Your Holiness;;;;;;;;;;;;;x
temple_emperor_title_ruler_consort_imperial_cult;Emperor Consort;;;;;;;;;;;;;x
temple_emperor_title_ruler_consort_imperial_cult_female;Empress Consort;;;;;;;;;;;;;x
temple_empire_of_imperial_cult;Holy Empire of;;;;;;;;;;;;;x
temple_empire_imperial_cult;Holy Empire;;;;;;;;;;;;;x
temple_empires_imperial_cult;Holy Empires;;;;;;;;;;;;;x
temple_king_imperial_cult;God-King;;;;;;;;;;;;;x
temple_king_imperial_cult_female;God-Queen;;;;;;;;;;;;;x
temple_king_foa_imperial_cult;Your Holiness;;;;;;;;;;;;;x
temple_king_foa_imperial_cult_female;Your Holiness;;;;;;;;;;;;;x
temple_king_title_ruler_consort_imperial_cult;King Consort;;;;;;;;;;;;;x
temple_king_title_ruler_consort_imperial_cult_female;Queen Consort;;;;;;;;;;;;;x
temple_kingdom_of_imperial_cult;Holy Kingdom of;;;;;;;;;;;;;x
temple_kingdom_imperial_cult;Holy Kingdom;;;;;;;;;;;;;x
temple_kingdoms_imperial_cult;Holy Kingdoms;;;;;;;;;;;;;x
temple_duke_imperial_cult;Apostle;;;;;;;;;;;;;x
temple_duke_imperial_cult_female;Apostle;;;;;;;;;;;;;x
temple_duke_foa_imperial_cult;Your Grace;;;;;;;;;;;;;x
temple_duke_foa_imperial_cult_female;Your Grace;;;;;;;;;;;;;x
temple_duke_title_ruler_consort_imperial_cult;Apostle's Consort;;;;;;;;;;;;;x
temple_duke_title_ruler_consort_imperial_cult_female;Apostle's Consort;;;;;;;;;;;;;x
temple_duchy_of_imperial_cult;See of;;;;;;;;;;;;;x
temple_duchy_imperial_cult;See;;;;;;;;;;;;;x
temple_duchies_imperial_cult;Sees;;;;;;;;;;;;;x
temple_count_imperial_cult;Archbishop;;;;;;;;;;;;;x
temple_count_imperial_cult_female;Archbishop;;;;;;;;;;;;;x
temple_count_foa_imperial_cult;My Lord;;;;;;;;;;;;;x
temple_count_foa_imperial_cult_female;My Lady;;;;;;;;;;;;;x
temple_count_title_ruler_consort_imperial_cult;Archbishop's Consort;;;;;;;;;;;;;x
temple_count_title_ruler_consort_imperial_cult_female;Archbishop's Consort;;;;;;;;;;;;;x
temple_baron_imperial_cult;Bishop;;;;;;;;;;;;;x
temple_baron_imperial_cult_female;Bishop;;;;;;;;;;;;;x
temple_baron_foa_imperial_cult;My Lord;;;;;;;;;;;;;x
temple_baron_foa_imperial_cult_female;My Lady;;;;;;;;;;;;;x
temple_baron_title_ruler_consort_imperial_cult;Bishop's Consort;;;;;;;;;;;;;x
temple_baron_title_ruler_consort_imperial_cult_female;Bishop's Consort;;;;;;;;;;;;;x
job_prime;Prime Secretary;Secrétaire de l'état;;;;;;;;;;;;x
job_chancellor;Secretary of State;Secrétaire de l'état;;;;;;;;;;;;x
job_solidarity;Secretary of Ecology and Solidarity;Secrétaire de la défense;;;;;;;;;;;;x
job_justice;Secretary of Justice;Secrétaire de la défense;;;;;;;;;;;;x
job_marshal;Secretary of Defense;Secrétaire de la défense;;;;;;;;;;;;x
job_foreign;Secretary of Foreign Affairs;Secrétaire de la défense;;;;;;;;;;;;x
job_treasurer;Secretary of the Treasury;Secrétaire du budget;;;;;;;;;;;;x
job_spymaster;Secretary of Intelligence;Secrétaire du renseignement;;;;;;;;;;;;x
job_spiritual;Secretary of Technology;Secrétaire de la recherche;;;;;;;;;;;;x
military_job_chancellor;Press Secretary;Secrétaire de l'état;;;;;;;;;;;;x
military_job_marshal;Chief of Staff;Secrétaire de la défense;;;;;;;;;;;;x
military_job_treasurer;Chief Quartermaster;Secrétaire du budget;;;;;;;;;;;;x
military_job_spymaster;Chief of Intelligence;Secrétaire du renseignement;;;;;;;;;;;;x
military_job_spiritual;Chief of Development;Secrétaire de la recherche;;;;;;;;;;;;x
monarchy_job_chancellor;Minister of State;Ministre de l'état;;;;;;;;;;;;x
monarchy_job_marshal;Minister of War;Ministre de la défense;;;;;;;;;;;;x
monarchy_job_treasurer;Minister of the Treasury;Ministre du budget;;;;;;;;;;;;x
monarchy_job_spymaster;Minister of Intelligence;Ministre du renseignement;;;;;;;;;;;;x
monarchy_job_spiritual;Minister of Technology;Ministre de la recherche;;;;;;;;;;;;x
monarchy_job_chancellor_neo_feudal;Chancellor;Chancellier;;;;;;;;;;;;x
monarchy_job_marshal_neo_feudal;Marshal;Maréchal;;;;;;;;;;;;x
monarchy_job_treasurer_neo_feudal;Steward;Intendant;;;;;;;;;;;;x
monarchy_job_spymaster_neo_feudal;Spymaster;Maître espion;;;;;;;;;;;;x
monarchy_job_spiritual_neo_feudal;Minister of Technology;Savant;;;;;;;;;;;;x
pirate_kingdom_job_chancellor;First Mate;;;;;;;;;;;;;x
pirate_kingdom_job_marshal;Chief Tactical Officer;;;;;;;;;;;;;x
pirate_kingdom_job_treasurer;Chief Quartermaster;;;;;;;;;;;;;x
pirate_kingdom_job_spymaster;Chief Signals Officer;;;;;;;;;;;;;x
pirate_kingdom_job_spiritual;Chief Engineer;;;;;;;;;;;;;x
pirate_republic_job_chancellor;Consigliere;;;;;;;;;;;;;x
pirate_republic_job_marshal;Chief Enforcer;;;;;;;;;;;;;x
pirate_republic_job_treasurer;Chief Quartermaster;;;;;;;;;;;;;x
pirate_republic_job_spymaster;Spymaster;;;;;;;;;;;;;x
pirate_republic_job_spiritual;Chief Engineer;;;;;;;;;;;;;x
hive_job_chancellor;Primary Interface Node;;;;;;;;;;;;;x
hive_job_marshal;Primary Combat Node;;;;;;;;;;;;;x
hive_job_treasurer;Primary Infrastructure Node;;;;;;;;;;;;;x
hive_job_spymaster;Secondary Interface Node;;;;;;;;;;;;;x
hive_job_spiritual;Secondary Infrastructure Node;;;;;;;;;;;;;x
GRANDADMIRAL;Grand Admiral;Grand amiral;;;;;;;;;;;;x
GRANDADMIRALFOA;Admiral;Amiral;;;;;;;;;;;;x
GRANDADMIRAL_female;Grand Admiral;Grand amiral;;;;;;;;;;;;x
GRANDADMIRALFOA_female;Admiral;Amiral;;;;;;;;;;;;x
FLEETADMIRAL;Fleet Admiral;Amiral de flotte;;;;;;;;;;;;x
FLEETADMIRALFOA;Admiral;Amiral;;;;;;;;;;;;x
FLEETADMIRAL_female;Fleet Admiral;Amiral de flotte;;;;;;;;;;;;x
FLEETADMIRALFOA_female;Admiral;Amiral;;;;;;;;;;;;x
FLEET_COMMAND;Fleet Command;Commandement de la Flotte;;;;;;;;;;;;x
GRAND_FLEET_COMMAND;Grand Fleet Command;Grand Commandement de la Flotte;;;;;;;;;;;;x
MASTER;Master;;;;;;;;;;;;;x
MASTERFOA;Father;;;;;;;;;;;;;x
MASTER_female;Mistress;;;;;;;;;;;;;x
MASTERFOA_female;Mother;;;;;;;;;;;;;x
PATRIARCH;Patriarch;;;;;;;;;;;;;x
PATRIARCHFOA;Your Holiness;;;;;;;;;;;;;x
PATRIARCH_female;Matriarch;;;;;;;;;;;;;x
PATRIARCHFOA_female;Your Holiness;;;;;;;;;;;;;x
PHAETHON;Phaethon;;;;;;;;;;;;;x
PHAETHONFOA;Your Holiness;;;;;;;;;;;;;x
FABRICATOR;Fabricator-General;;;;;;;;;;;;;x
FABRICATORFOA;Your Holiness;;;;;;;;;;;;;x
DARWIN;Darwin;;;;;;;;;;;;;x
DARWINFOA;Your Dominance;;;;;;;;;;;;;x
GRANDMASTER;Grandmaster;;;;;;;;;;;;;x
GRANDMASTERFOA;Master;;;;;;;;;;;;;x
GRANDMASTER_female;Grandmistress;;;;;;;;;;;;;x
GRANDMASTERFOA_female;Mistress;;;;;;;;;;;;;x
MAYOR;Mayor;;;;;;;;;;;;;x
MAYORFOA;Mister Mayor;;;;;;;;;;;;;x
MAYOR_female;Mayor;;;;;;;;;;;;;x
MAYORFOA_female;Madam Mayor;;;;;;;;;;;;;x
title_speaker;Speaker;;;;;;;;;;;;;x
title_speaker_desc;The Speaker is the official who coordinates the day-to-day operations of the Senate. While the position has no political power, it is somewhat prestigious.;;;;;;;;;;;;;x
title_minister_without_portfolio;Minister Without Portfolio;;;;;;;;;;;;;x
title_minister_without_portfolio_desc;Ministers Without Portfolio have no official day to day duties, but still occupy a position of prestige and have the ear of the government.;;;;;;;;;;;;;x
title_poet_laureate;Poet Laureate;;;;;;;;;;;;;x
title_poet_laureate_desc;The poet laureate is the official state poet, responsible for composing poems for special events and occasions.;;;;;;;;;;;;;x
title_vp_robotics;VP Robotics;;;;;;;;;;;;;x
title_vp_robotics_desc;This official is charged with managing their employing corporation's robotics division.;;;;;;;;;;;;;x
title_vp_industrial_engineering;VP Industrial Engineering;;;;;;;;;;;;;x
title_vp_industrial_engineering_desc;This official is charged with managing their employing corporation's industrial engineering division.;;;;;;;;;;;;;x
title_vp_consumer_goods;VP Consumer Goods;;;;;;;;;;;;;x
title_vp_consumer_goods_desc;This official is charged with managing their employing corporation's consumer goods division.;;;;;;;;;;;;;x
title_vp_transportation;VP Transportation;;;;;;;;;;;;;x
title_vp_transportation_desc;This official is charged with managing their employing corporation's transportation division.;;;;;;;;;;;;;x
title_vp_defense_industries;VP Munitions;;;;;;;;;;;;;x
title_vp_defense_industries_desc;This official is charged with managing their employing corporation's weapons division.;;;;;;;;;;;;;x
title_vp_financial;VP Financial Services;;;;;;;;;;;;;x
title_vp_financial_desc;This official is charged with managing their employing corporation's financial services division.;;;;;;;;;;;;;x
title_vp_biotech;VP Biotech;;;;;;;;;;;;;x
title_vp_biotech_desc;This official is charged with managing their employing corporation's biotechnology division.;;;;;;;;;;;;;x
title_vp_luxury_goods;VP Luxury Goods;;;;;;;;;;;;;x
title_vp_luxury_goods_desc;This official is charged with managing their employing corporation's luxury goods division.;;;;;;;;;;;;;x
title_medal;Medal of Distinction;;;;;;;;;;;;;x
title_medal_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_confederate_sunburst;Confederate Sunburst;;;;;;;;;;;;;x
title_confederate_sunburst_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_imperial_sunburst;Imperial Sunburst;;;;;;;;;;;;;x
title_imperial_sunburst_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_colonial_star;Colonial Star;;;;;;;;;;;;;x
title_colonial_star_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_star_of_valor;Star of Valor;;;;;;;;;;;;;x
title_star_of_valor_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_red_star;Red Star;;;;;;;;;;;;;x
title_red_star_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_holy_sunburst;Holy Sunburst;;;;;;;;;;;;;x
title_holy_sunburst_desc;This medal is the highest honor that it is within your power to grant.;;;;;;;;;;;;;x
title_captain;Captain;;;;;;;;;;;;;x
title_captain_desc;Within organized pirate kingdoms, captains of particular ships hold a certain amount of prestige and influence.;;;;;;;;;;;;;x
title_captain_foa;Captain;;;;;;;;;;;;;x
title_justice_of_king;Main Judge;Justice du roi;;;Justicia del Rey;;;;;;;;;x
title_justice_of_king_desc;The main judge of the country;Le bourreau royal et le gardien des cachots. ;;;El verdugo real y el responsable de las mazmorras.;;;;;;;;;x
pirate_kingdom_feud_emperor;Pirate King;;;;;;;;;;;;;x
pirate_kingdom_feud_emperor_female;Pirate Queen;;;;;;;;;;;;;x
pirate_kingdom_feud_empire_of;Pirate Kingdom of;;;;;;;;;;;;;x
pirate_kingdom_feud_empires;Pirate Kingdoms;;;;;;;;;;;;;x
pirate_kingdom_feud_empire;Pirate Kingdom;;;;;;;;;;;;;x
pirate_kingdom_feud_king;Pirate Overlord;;;;;;;;;;;;;x
pirate_kingdom_feud_king_female;Pirate Overlord;;;;;;;;;;;;;x
pirate_kingdom_feud_king_title_ruler_consort;Pirate Consort;;;;;;;;;;;;;x
pirate_kingdom_feud_king_title_ruler_consort_female;Pirate Consort;;;;;;;;;;;;;x
